KO_ID	P1	P2	P3	P4	I1	I2	I3	I4
K00536	0	0	0	0	0	0	0	0
K00539	0	0	0	0	0	0	0	0
K00541	0	1	1	0	0	1	0	0
K00542	0	0	0	0	0	0	0	0
K00543	1	4	1	2	3	4	2	0
K00544	6	32	28	32	22	26	10	8
K00545	0	0	0	0	0	0	0	0
K00546	0	0	0	0	0	0	0	0
K00547	7	44	32	28	38	35	8	4
K00548	39	300	219	201	279	246	90	39
K00549	24	318	154	122	234	160	98	22
K00551	0	0	0	0	0	0	0	0
K00552	0	0	0	0	0	0	0	0
K00553	0	0	0	0	0	0	0	0
K00558	10	14	12	12	8	22	4	0
K00559	0	0	0	0	0	0	0	0
K00560	10	66	38	36	70	74	20	4
K00562	0	0	0	0	0	0	0	0
K00565	0	0	0	0	0	0	0	0
K00566	8	77	56	53	79	58	40	11
K00568	9	131	76	71	111	76	37	16
K00569	0	3	2	0	3	3	1	0
K00570	3	27	23	7	28	17	10	2
K00572	0	0	0	0	0	0	0	0
K00575	18	240	176	158	244	186	88	18
K00577	0	0	0	0	1	0	1	0
K00578	0	0	0	0	0	0	0	0
K00579	0	0	0	0	0	0	0	0
K00580	0	0	0	0	0	0	0	0
K00581	0	0	0	0	0	0	0	0
K00582	0	0	0	0	0	0	0	0
K00583	0	0	0	0	0	0	0	0
K00584	0	0	0	0	0	0	0	0
K00588	20	200	112	104	180	120	68	16
K00589	0	0	0	0	0	0	0	0
K00591	2	10	9	5	10	10	1	1
K00595	2	4	2	1	6	4	3	1
K00599	0	0	0	0	0	0	0	0
K00600	28	252	172	204	212	200	76	20
K00601	0	2	4	0	4	2	2	0
K00602	14	108	64	88	108	78	46	6
K00603	4	64	38	44	64	46	16	8
K00604	12	144	110	98	142	102	68	8
K00605	42	396	285	228	336	282	111	42
K00606	4	62	36	36	53	49	19	6
K00608	0	0	0	0	0	0	0	0
K00609	12	124	82	70	92	86	54	6
K00610	0	0	0	0	0	0	4	0
K00611	8	70	39	42	58	42	22	5
K00613	0	10	4	2	6	4	2	0
K00615	51	477	297	234	453	363	159	51
K00616	16	106	73	74	105	93	47	12
K00618	0	0	0	0	0	0	0	0
K00619	3	25	22	19	26	20	10	4
K00620	0	38	23	24	33	23	11	2
K00621	0	0	1	1	0	0	1	0
K00622	6	24	9	9	15	12	3	0
K00623	0	0	0	0	0	0	0	0
K00624	0	0	0	0	0	0	0	0
K00625	15	195	90	80	105	100	75	15
K00626	416	3484	2145	2262	2821	2366	923	169
K00627	36	462	294	270	336	249	123	48
K00629	0	2	0	0	0	0	0	0
K00630	0	0	0	0	0	0	0	0
K00631	4	32	30	14	22	14	14	6
K00632	108	936	516	564	786	642	270	42
K00634	1	27	16	12	13	13	11	3
K00635	1	24	12	19	23	11	4	3
K00637	0	0	0	0	0	0	0	0
K00639	8	119	73	67	113	98	46	10
K00640	14	114	60	60	82	80	44	16
K00641	18	142	134	112	164	118	74	10
K00642	0	0	0	0	0	0	0	0
K00643	0	30	16	34	26	26	10	2
K00645	6	86	57	49	71	60	24	8
K00647	2	41	27	21	24	24	12	1
K00648	9	102	71	54	79	81	30	9
K00649	0	2	0	0	0	0	0	0
K00650	0	0	0	0	0	0	0	0
K00651	2	6	2	2	10	2	2	0
K00652	5	92	52	52	83	77	36	6
K00654	1	8	2	5	12	6	3	1
K00655	32	250	168	166	220	190	96	20
K00656	9	36	15	12	24	27	15	3
K00657	3	34	20	25	36	28	17	7
K00658	18	208	130	122	154	110	46	24
K00659	0	0	0	0	0	0	0	0
K00660	0	2	0	0	0	0	0	0
K00665	0	2	0	0	0	0	0	0
K00667	0	5	1	0	0	1	1	0
K00668	0	6	1	0	0	1	1	0
K00669	0	0	0	0	0	0	0	0
K00672	0	8	5	1	4	6	3	1
K00673	3	8	1	5	4	2	2	0
K00674	7	42	29	27	41	37	13	2
K00677	2	57	42	37	50	45	17	3
K00678	0	0	0	0	0	0	0	0
K00679	0	0	0	0	0	0	0	0
K00680	0	0	0	0	0	0	0	0
K00681	56	536	372	336	500	396	216	44
K00682	0	0	0	0	0	0	0	0
K00687	0	0	0	0	0	0	0	0
K00688	14	172	114	92	138	138	50	14
K00689	0	0	0	0	0	0	0	0
K00690	6	43	35	26	36	36	21	6
K00691	1	11	7	8	16	12	3	1
K00692	0	0	0	0	0	0	0	0
K00693	0	0	0	0	0	0	0	0
K00694	4	39	17	23	43	20	14	6
K00695	0	0	0	0	0	0	0	0
K00696	1	5	3	2	4	4	3	1
K00697	5	60	28	34	63	33	15	8
K00698	0	1	0	0	0	0	0	0
K00699	0	0	0	0	0	10	0	0
K00700	8	83	77	61	72	82	31	7
K00702	2	9	5	5	19	8	2	1
K00703	6	48	28	25	47	29	17	3
K00704	0	0	0	0	0	0	0	0
K00705	7	78	64	54	74	66	28	7
K00706	0	0	0	0	0	0	0	0
K00709	0	0	0	0	0	0	0	0
K00710	0	0	0	0	0	0	0	0
K00714	0	0	0	0	0	0	0	0
K00715	0	0	0	0	0	0	0	0
K00716	0	0	0	0	0	0	0	0
K00717	0	9	0	0	0	0	0	0
K00718	0	0	0	0	0	0	0	0
K00719	0	0	0	0	0	0	0	0
K00720	5	40	36	31	52	47	21	6
K00721	20	191	124	124	168	147	72	17
K00722	0	0	0	0	0	0	0	0
K00724	0	0	0	0	0	0	0	0
K00725	0	0	0	0	1	0	0	0
K00726	0	0	0	0	0	0	0	0
K00727	0	0	0	0	0	0	0	0
K00728	0	2	0	1	0	0	0	0
K00729	3	30	27	18	38	33	9	1
K00730	0	0	0	0	0	0	0	0
K00731	0	0	0	0	0	0	0	0
K00733	0	0	0	0	0	0	0	0
K00734	0	0	0	0	0	0	0	0
K00735	0	0	0	0	0	0	0	0
K00736	0	0	0	0	0	0	0	0
K00737	0	0	1	1	0	0	0	0
K00738	0	0	0	0	0	0	0	0
K00739	0	0	0	0	0	0	0	0
K00740	0	0	0	0	0	0	0	0
K00741	0	0	0	0	0	0	0	0
K00742	0	0	0	0	0	0	0	0
K00743	0	6	4	2	4	3	2	1
K00744	0	0	0	0	0	0	0	0
K00746	0	0	0	0	0	0	0	0
K00747	0	0	0	0	0	0	0	0
K00748	7	47	39	34	42	42	17	2
K00753	0	0	0	0	0	0	0	0
K00754	0	0	0	0	0	0	0	0
K00756	2	26	19	16	28	20	8	2
K00757	2	0	4	4	10	2	0	0
K00758	9	171	114	105	150	123	45	6
K00759	7	74	50	30	66	52	28	6
K00760	20	204	138	144	220	160	76	20
K00761	2	22	11	15	18	17	6	2
K00762	7	58	42	28	58	41	21	4
K00763	6	31	24	25	38	34	13	2
K00764	20	166	108	122	152	108	44	14
K00765	5	47	32	20	45	37	17	3
K00766	4	56	41	42	49	33	18	5
K00767	10	50	32	29	43	30	20	5
K00768	3	11	7	4	9	7	2	2
K00769	0	5	4	4	7	4	0	2
K00770	0	0	0	0	0	0	0	0
K00771	0	0	0	0	0	0	0	0
K00772	6	59	41	37	49	34	19	11
K00778	0	0	0	0	0	0	0	0
K00779	0	0	0	0	0	0	0	0
K00780	0	8	0	0	4	4	0	0
K00781	0	0	0	0	0	0	0	0
K00784	7	118	84	74	104	86	31	13
K00787	0	0	0	0	0	0	0	0
K00788	10	95	75	61	107	84	35	14
K00789	2	57	33	36	51	29	20	9
K00790	8	122	88	64	112	76	34	10
K00791	7	59	40	35	47	40	11	9
K00793	5	49	36	36	51	37	19	5
K00794	8	58	39	36	53	40	21	6
K00795	3	46	45	30	39	43	22	3
K00796	8	69	43	30	56	46	26	7
K00797	28	532	300	240	396	324	108	28
K00798	4	46	24	25	40	24	16	2
K00799	72	972	702	618	753	588	420	69
K00800	17	103	69	63	103	67	38	12
K00801	5	51	32	29	47	39	14	4
K00802	0	0	0	0	0	0	0	0
K00803	2	40	16	18	26	20	18	4
K00804	0	0	0	0	0	0	0	0
K00805	1	7	4	7	6	5	3	0
K00806	8	63	49	40	72	62	31	10
K00807	0	0	0	0	0	0	0	0
K00808	1	7	7	3	7	11	1	0
K00811	0	0	0	0	0	0	0	0
K00812	50	730	450	480	730	570	260	20
K00813	30	130	60	120	40	70	60	20
K00814	0	0	0	0	0	0	0	0
K00815	0	0	0	0	0	0	0	0
K00816	0	0	0	0	0	0	0	0
K00817	60	594	444	450	666	420	174	36
K00818	15	156	95	85	132	92	50	11
K00819	5	33	20	23	31	23	16	3
K00820	32	242	180	164	194	196	82	24
K00821	18	138	82	70	126	96	48	12
K00822	6	111	87	96	102	81	48	12
K00823	28	436	252	244	400	336	164	12
K00824	5	170	120	85	130	145	45	0
K00825	0	0	0	0	0	0	0	0
K00826	36	378	261	261	315	321	150	27
K00827	0	2	0	0	6	4	0	0
K00830	16	232	100	96	220	152	96	8
K00831	6	99	60	39	60	66	36	12
K00832	21	91	42	84	28	42	42	14
K00833	5	113	79	68	83	71	41	10
K00835	1	0	0	0	0	0	0	0
K00836	6	45	31	26	39	35	17	7
K00838	0	0	0	0	0	0	0	0
K00840	2	10	4	5	9	5	3	1
K00841	0	5	7	5	7	8	3	0
K00844	0	0	0	0	0	0	0	0
K00845	126	930	600	684	888	696	270	114
K00846	0	5	2	3	3	2	2	0
K00847	30	171	105	159	189	174	84	24
K00848	0	40	20	16	32	32	6	4
K00849	6	52	32	38	70	42	16	8
K00850	25	400	250	240	325	275	90	30
K00851	8	83	45	37	63	51	22	3
K00852	12	86	54	60	72	56	34	11
K00853	0	17	8	10	13	9	6	2
K00854	7	44	20	25	39	30	11	2
K00855	2	13	7	6	6	8	3	0
K00856	6	51	31	32	61	41	19	8
K00857	2	32	16	14	22	42	4	0
K00858	11	66	52	50	63	61	24	10
K00859	4	47	33	40	52	41	15	1
K00860	0	42	18	26	48	26	14	2
K00861	0	0	0	0	0	0	0	0
K00863	3	15	12	9	12	6	6	3
K00864	9	141	84	99	129	93	45	12
K00865	4	48	48	48	56	32	28	0
K00866	0	0	1	0	0	0	0	0
K00867	2	6	6	6	9	2	4	1
K00868	1	12	4	2	13	11	2	2
K00869	4	6	4	0	4	2	6	0
K00871	0	0	0	0	0	0	0	0
K00872	4	32	25	22	39	20	15	3
K00873	45	285	190	200	300	190	85	30
K00874	14	100	50	52	56	72	38	4
K00875	0	0	0	0	0	0	0	0
K00876	4	28	16	12	18	16	2	2
K00877	0	0	0	0	0	0	0	0
K00878	3	3	2	4	4	2	3	0
K00879	0	2	0	2	2	0	0	0
K00880	2	4	2	2	2	0	2	0
K00882	0	19	8	7	16	11	6	1
K00883	3	9	6	11	4	6	3	0
K00884	3	21	16	16	24	20	11	5
K00885	3	17	12	20	17	22	11	4
K00886	6	80	42	46	66	46	26	6
K00887	0	0	1	4	4	2	0	1
K00888	0	0	0	0	0	0	0	0
K00889	0	0	0	0	0	0	0	0
