mOTU	P1	P2	P3	P4	I1	I2	I3	I4
OTU433	0	0	0	0	0	0	0	0
OTU434	0	0	0	0	0	0	0	0
OTU435	0	0	0	0	0	0	0	0
OTU436	0	0	0	0	0	0	0	0
OTU437	0	0	0	0	0	0	0	0
OTU438	0	0	0	0	0	0	0	0
OTU439	0	0	0	0	0	0	0	0
OTU440	0	0	0	0	0	0	0	0
OTU441	0	0	0	0	0	0	0	0
OTU442	0	0	0	0	0	0	0	0
OTU443	0	0	0	0	0	0	0	0
OTU444	0	0	0	0	0	0	0	0
OTU445	0	0	0	0	0	0	0	0
OTU446	0	0	0	0	0	0	0	0
OTU447	0	0	0	0	0	0	0	0
OTU448	1	0	0	0	0	0	0	1
OTU449	0	2	0	0	0	0	0	0
OTU450	0	0	0	0	0	0	0	0
OTU451	2	1	0	0	1	0	0	0
OTU452	0	0	0	0	0	0	0	0
OTU453	0	0	0	0	0	0	0	0
OTU454	0	0	0	0	0	0	0	0
OTU455	0	0	0	0	0	0	0	0
OTU456	0	0	0	0	0	0	0	0
OTU457	0	0	0	0	0	0	0	0
OTU458	0	0	0	0	0	0	0	0
OTU459	0	0	0	0	0	0	0	0
OTU460	0	0	0	0	0	0	0	0
OTU461	0	0	0	0	0	0	0	0
OTU462	0	0	0	0	0	0	0	0
OTU463	0	0	0	0	0	0	0	0
OTU464	0	0	0	0	0	0	0	0
OTU465	0	0	0	0	0	0	0	0
OTU466	0	0	0	0	0	0	0	0
OTU467	0	0	0	0	0	0	0	0
OTU468	0	3	0	0	0	1	0	0
OTU469	0	0	0	0	0	0	0	0
OTU470	0	0	0	0	0	0	0	0
OTU471	0	0	0	0	0	0	0	0
OTU472	0	0	0	0	0	0	0	0
OTU473	0	0	0	0	0	0	0	0
OTU474	0	0	0	0	0	0	0	0
OTU475	0	0	0	0	0	0	0	0
OTU476	0	0	0	0	0	0	0	0
OTU477	0	0	0	0	0	0	0	0
OTU478	0	0	0	0	0	0	0	0
OTU479	0	0	0	0	0	0	0	0
OTU480	0	0	0	0	0	0	0	0
OTU481	0	0	0	0	0	0	0	0
OTU482	0	0	0	0	0	0	0	0
OTU483	0	0	0	0	0	0	0	0
OTU484	0	0	0	0	0	0	0	0
OTU485	0	0	0	0	0	0	0	0
OTU486	0	0	0	0	0	0	0	0
OTU487	0	0	0	0	0	0	0	0
OTU488	0	0	0	0	0	0	0	0
OTU489	0	0	0	0	0	0	0	0
OTU490	0	0	0	0	0	0	0	0
OTU491	0	0	0	0	0	0	0	0
OTU492	0	0	0	0	0	0	0	0
OTU493	0	0	0	0	0	0	0	0
OTU494	0	0	0	0	0	0	0	0
OTU495	0	0	0	0	0	0	0	0
OTU496	0	0	0	0	0	0	0	0
OTU497	0	0	0	0	0	0	0	0
OTU498	0	0	0	0	0	0	0	0
OTU499	0	0	0	0	0	0	0	0
OTU500	0	0	0	0	0	0	0	0
OTU501	0	0	0	0	0	0	0	0
OTU502	0	0	0	0	0	0	0	0
OTU503	0	0	0	0	0	0	0	0
OTU504	0	0	0	0	0	0	0	0
OTU505	0	0	0	0	0	0	0	0
OTU506	0	0	0	0	0	0	0	0
OTU507	0	0	0	0	0	0	0	0
OTU508	0	0	0	0	0	0	0	0
OTU509	0	0	0	0	0	0	0	0
OTU510	0	0	0	0	0	0	0	0
OTU511	0	0	0	0	0	0	0	0
OTU512	0	0	0	0	0	0	0	0
OTU513	0	0	0	0	0	0	0	0
OTU514	0	0	0	0	0	0	0	0
OTU515	0	0	0	0	0	0	0	0
OTU516	0	0	0	0	0	0	0	0
OTU517	0	0	0	0	0	0	0	0
OTU518	0	0	0	0	0	0	0	0
OTU519	0	0	0	0	0	0	0	0
OTU520	0	0	0	0	0	0	0	0
OTU521	0	0	0	0	0	0	0	0
OTU522	0	0	0	0	0	0	0	0
OTU523	0	0	0	0	0	0	0	0
OTU524	0	0	0	0	0	0	0	0
